pk,class,name_japanese,name_english,name_katakana,explanation,imageUrl
fishes,shark,ネコザメ,Japanese bullhead shark,ジャパニーズブルヘッドシャーク,ネコザメの名前の由来として言われているのが眼の上の骨のでっぱりです。眼の上の骨が隆起しているのでそれをネコの耳に見立ててネコザメと呼ばれています。,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Heterodontus_japonicus1.jpg/375px-Heterodontus_japonicus1.jpg
fishes,shark,シマネコザメ,Zebra bullhead shark,ゼブラブルヘッドシャーク,体表面には独特な縞模様があり、白色地に22-36の暗色横帯が入ることで他のネコザメ類と区別できる。,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Zebra_bullhead_shark_Beijing_Aquarium_17_Sep_2010.jpg/375px-Zebra_bullhead_shark_Beijing_Aquarium_17_Sep_2010.jpg
fishes,shark,ヒゲツノザメ,Mandarin dogfish,マンダリンドッグフィッシュ,吻の先端近くには特徴的なヒゲが1対あります。また，第1背鰭と第2背鰭の基部に白色の棘がそれぞれ1本ずつありそれらが名前の由来となっている。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20201026/20201026042113.jpg
fishes,shark,ヒゲドチザメ,whiskery shark,ウィスケリーシャーク,体はある程度頑丈で、頭部の後方が隆起する。また、ドチザメ科としては唯一、前鼻弁が伸びて細い髭となる。,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Furgaleus_macki_csiro-nfc.jpg/375px-Furgaleus_macki_csiro-nfc.jpg
fishes,shark,ネックレスクラカケザメ,Necklace carpetshark,ネックレスカーペットシャーク,細長い体を持ち、体に沿って白い斑点があります。洞窟に隠れたり海底に隠れて一日を過ごします。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323035001.jpg
fishes,shark,クロトガリザメ,Silky shark,シルキーシャーク,全世界の熱帯の外洋域で見られ、最も個体数の多い外洋性サメの一つである。鎌型の長い胸鰭を持つことが特徴である。,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Carcharhinus_falciformis_off_Cuba.jpg/375px-Carcharhinus_falciformis_off_Cuba.jpg
fishes,shark,ヨシキリザメ,Blue shark,ブルーシャーク,背側が青みがかった灰褐色、腹側は白色になっています。背側の青みがかった体色が名前の由来になっています。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200904/20200904122747.jpg
fishes,shark,クロヘリメジロザメ,Copper shark,カッパーシャーク,体色は灰色で、鰭の先端が黒っぽくなり、和名の由来にもなっています。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20201026/20201026041727.jpg
fishes,shark,ナヌカザメ,Blotchy swellshark,ブロッチースウェルシャーク,茶褐色の体色に暗色の縞模様があり、大きな胸鰭を持っています。海水を胃袋に吸い込んで体を膨らませて威嚇することがあります。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20201026/20201026041909.jpg
fishes,shark,クラカケザメ,saddle carpetshark,サドルカーペットシャーク,茶褐色の体色で、背中には茶色の鞍状模様あり、これが名前の由来になっています。また、喉の部分に1対のヒゲがあります。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20201026/20201026042216.jpg
fishes,shark,オオメジロザメ,Bull Shark,ブルシャーク,灰褐色の体色をしており、腹側は白色になっています。以前は「ウシザメ」と「オオメジロザメ」という2つの名称で呼ばれていましたが、現在ではオオメジロザメに統一されています。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200918/20200918053314.jpg
fishes,shark,メジロザメ,Sandbar shark,サンドバーシャーク,他のメジロザメ属よりも発達した第一背鰭、胸鰭を持ち、鰭はフカヒレの原料として利用されています。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200912/20200912192128.jpg
fishes,shark,サンゴトラザメ,Coral catshark,コーラルキャットシャーク,サンゴトラザメの特徴は身体に無数にある斑点で、色は黒系の色だけではなく、白に近い明るい色の斑点も混じっています。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323032023.jpg
fishes,shark,レモンザメ,Sicklefin lemon shark,シックルフィンレモンシャーク,ふっくらとした体型をしており、ゆっくりと泳ぐサメで、名前の由来はレモンのように黄色の体色をしていることから来ています。メジロザメには珍しく泳がなくても呼吸が行える種類です。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323034457.jpg
fishes,shark,ブラウンシャイシャーク,Brown shy shark,ブラウンシャイシャーク,英名のBrown shy sharkは、危険を感じると尾びれを頭の上に持ってきて丸くなることが由来となっています。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323035858.jpg
fishes,shark,ポートジャクソンシャーク,Port Jackson shark,ポートジャクソンシャーク,ポートジャクソンネコザメと呼ばれることもあり、第一背びれ、第二背びれの前方にトゲがあります。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323040044.jpg
fishes,shark,ホーンシャーク,Horn shark,ホーンシャーク,背びれの前方にトゲがついており捕食からの防衛手段としています。また、ネコザメの由来でもある、眼の上の突起もあります。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323040244.jpg
fishes,shark,コモリザメ,Nurse shark,ナースシャーク,コモリザメはナースシャークと呼ばれることもある卵胎生のサメです。性格が温厚で大人しいため、一緒に泳ぐことができるサメとしても知られています。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323034628.jpg
fishes,shark,ネムリブカ,Whitetip reef shark,ホワイティップリーフシャーク,背ビレと尾ビレの先端が白くなっており、英名の「Whitetip reef shark 」は白い破片の模様があるサンゴのサメという意味になります。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323035248.jpg
fishes,shark,タテスジトラザメ,striped catshark,ストライプドキャットシャーク,タテスジトラザメという名前ですがどこから見ても横に筋が入っています。これは魚の縞模様を見る際に口を上にしてから縞模様の方向を判断していたためと言われている。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323033024.jpg
fishes,shark,ハナカケトラザメ,Small-spotted catshark,スモールスポッテッドキャットシャーク,表面は紙やすりのようなザラザラした感触をしているようです。「Small-spotted catshark?」は小さな斑点のあるトラザメという意味です。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323033854.jpg
fishes,shark,クレステッドブルヘッドシャーク,Crested bullhead shark,クレステッドブルヘッドシャーク,オデコネコザメという可愛い名前がつくくらいファンが多いネコザメで眼の上の突起が他の種類よりも大きいことが特徴です。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323031554.jpg
fishes,shark,ウチワシュモクザメ,Bonnethead,ボーネヘッド,ウチワという和名がついている通り、頭の部分は小さくウチワのようになっています。,https://4.bp.blogspot.com/--T40Asz71Z8/VMLPZkk8n5I/AAAAAAAAnzs/PDhv8pa8kXA/s1600/20141110_DSC5469.JPG
fishes,shark,イズハナトラザメ,Idsu catshark,イズキャットシャーク,トラザメとの違いは、全身にある白い斑点です。「Idsu catshark」は、伊豆の猫のようなサメという意味です。,https://churaumi.okinawa/userfiles/fish_images/shinkaigyo/izuhanatorazame201811.jpg
fishes,shark,アラビアンカーペットシャーク,Arabian carpetshark,アラビアンカーペットシャーク,体色は茶色一色で細長い体をしています。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200323/20200323030804.jpg
fishes,shark,ドチザメ,Banded houndshark,バンディットハウンドシャーク,全国の水族館のうち半分以上の施設で展示・飼育されている種類で身体は灰色と黒のストライプ模様が入っています。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200224/20200224005003.jpg
fishes,shark,イヌザメ,Brownbanded bamboo shark,ブラウンバンディットバンブーシャーク,ニョロニョロとした体形をしており、口元にヒゲがついているのも特徴です。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200221/20200221000628.jpg
fishes,shark,シロワニ,Sand tiger shark,サンドタイガーシャーク,シロワニの名前の由来は日本では昔、サメのことをワニと呼んでいたことが由来です。,https://cdn-ak.f.st-hatena.com/images/fotolife/i/itsuwalove777/20200221/20200221000404.jpg
fishes,shark,スポッテッドラットフィッシュ,Spotted ratfish,スポッテットラットシャーク,名前の由来は身体に入っている点状の模様(スポッテッド)や顔の部分の形状がネズミ(ラット)に似ていることから付けられている。,https://www.aquamarine.or.jp/wp-content/uploads/2018/03/thumb-spotted-ratfish-650x465.jpg
fishes,shark,トラフザメ,Zebra shark,ゼブラシャーク,体は綺麗なカフェオレのような色に、黒色の斑点があります。,https://ikimono-matome.com/wp-content/uploads/2018/05/Zebrashark.jpg
fishes,shark,ゾウギンザメ,Ghost shark,ゴーストシャーク,シュモクザメのハンマーやノコギリザメのノコギリのように、ゾウギンザメのゾウの鼻のような部分にはロレンチーニ器官を備えています。,https://prtimes.jp/i/20364/443/resize/d20364-443-986712-3.jpg
fishes,shark,マモンツキテンジクザメ,Epaulette shark,イポウレットシャーク,英名のEpauletteは肩章という意味で、胸鰭の後ろにある大きな黒点が肩章に見える事が由来となっています。,https://upload.wikimedia.org/wikipedia/commons/4/4b/Hemiscyllium_ocellatum_Oc%C3%A9anopolis.jpg
fishes,shark,スミツキザメ,White-cheeked shark,ホワイトチークドシャーク,スミツキザメは体長1m程度の小型のサメで、インド洋～太平洋まで広域に生息しています。,https://th.bing.com/th/id/OIP.FcIQQFNMS2kg0PvyBTJgfwHaFj?w=287&h=215&c=7&r=0&o=5&dpr=1.65&pid=1.7
fishes,shark,ノコギリザメ,Japanese sawshark,ジャパニーズソーシャーク,この特徴的なノコギリはエサとなる小魚や甲殻類を攻撃したり、エサを探し出すために使っている。,https://livedoor.blogimg.jp/karapaia_zaeega/imgs/5/7/57c7ee33.jpg
fishes,shark,ツマグロ,Blacktip reef shark,ブラックティップリーフシャーク,「Blacktip reef shark」は「端が黒いサンゴ礁のサメ」という意味です。,https://th.bing.com/th/id/OIP.fo24hGRrnEJZ5X_fEA7gyQHaE8?w=278&h=185&c=7&r=0&o=5&dpr=1.65&pid=1.7
fishes,shark,イタチザメ,Tiger shark,タイガーシャーク,イタチザメはとにかく口に入れるという習性があり、胃袋からは廃棄物から多様な海洋生物まで様々なものが見つかるようです。,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Tigershark3.jpg/250px-Tigershark3.jpg
fishes,shark,アカシュモクザメ,Scalloped hammerhead,スカラップハンマーヘッド,ハンマーヘッドシャークと呼ばれているように、頭がハンマー形状になっているのが1番の特徴です。,https://th.bing.com/th/id/OIP.wxFeSf598kjwRUPzqQ94HAHaEK?w=316&h=180&c=7&r=0&o=5&dpr=1.65&pid=1.7
fishes,shark,ホホジロザメ,great white shark,グレイトホワイトシャーク,"「白い死神」とも呼ばれ,襲われれば最も危険なサメであり、世界中で死傷事故が発生している。",https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/White_shark.jpg/390px-White_shark.jpg
fishes,shark,アオザメ,Shortfin mako shark,ショートフィンマコシャーク,英名の「mako」 とは、マオリ語で「サメ」の意味です。また、短い胸鰭をもつので“Shortfin mako”といわれる。,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Isurus_oxyrinchus_by_mark_conlin2.JPG/375px-Isurus_oxyrinchus_by_mark_conlin2.JPG
fishes,shark,ジンベイザメ,whale shark,ホエールシャーク,サメや軟骨魚類としてのみならず、すべての魚類の中で現生最大の種で、鯨類以外での最大の動物です。,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Whale_shark_Georgia_aquarium.jpg/375px-Whale_shark_Georgia_aquarium.jpg
fishes,shark,ミツクリザメ,goblin shark,ゴブリンシャーク,大きく突出した吻（頭部先端のとがった部分）が特徴で吻には電気受容器のロレンチニ瓶を多数備えており、海底の餌を探すのに役立っている。,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Mitsukurina_owstoni%2C_Pengo.jpg/375px-Mitsukurina_owstoni%2C_Pengo.jpg
